   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        7    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
        1    0.000    0.000    0.000    0.000 __init__.py:509(InvalidColumnName)
        1    0.000    0.000    0.000    0.000 __init__.py:510(get_configdir)
        7    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:524(CategoricalConversionWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:529(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:53(ParserError)
        8    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:540(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:546(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:553(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:567(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:584(maxdict)
